tag category,Tag,Linked tag category,Linked tag
Entity_natural_src,_Entity_natural_src.Entity_label,Entity,_Entity.Sf_framecode
Entity_natural_src,_Entity_natural_src.Entity_label,Entity_natural_src,_Entity_natural_src.Entity_label
Entity_natural_src,_Entity_natural_src.Entity_label,Natural_source_db,_Natural_source_db.Entity_label
Entity_natural_src,_Entity_natural_src.Entity_label,Entity_experimental_src,_Entity_experimental_src.Entity_label
Entity_natural_src,_Entity_natural_src.Entity_label,Sample_component,_Sample_component.Entity_label
Entity_natural_src,_Entity_natural_src.Entity_label,Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label
Entity_natural_src,_Entity_natural_src.Entity_label,Entity_purity,_Entity_purity.Entity_label
Natural_source_db,_Natural_source_db.Entity_label,Entity_assembly,_Entity_assembly.Entity_label
Natural_source_db,_Natural_source_db.Entity_label,Subsystem_component,_Subsystem_component.Entity_label
Natural_source_db,_Natural_source_db.Entity_label,Entity,_Entity.Sf_framecode
Natural_source_db,_Natural_source_db.Entity_label,Entity_natural_src,_Entity_natural_src.Entity_label
Natural_source_db,_Natural_source_db.Entity_label,Natural_source_db,_Natural_source_db.Entity_label
Natural_source_db,_Natural_source_db.Entity_label,Entity_experimental_src,_Entity_experimental_src.Entity_label
Natural_source_db,_Natural_source_db.Entity_label,Sample_component,_Sample_component.Entity_label
Natural_source_db,_Natural_source_db.Entity_label,Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label
Natural_source_db,_Natural_source_db.Entity_label,Entity_purity,_Entity_purity.Entity_label
Entity_experimental_src,_Entity_experimental_src.Entity_label,Entity_assembly,_Entity_assembly.Entity_label
Entity_experimental_src,_Entity_experimental_src.Entity_label,Subsystem_component,_Subsystem_component.Entity_label
Entity_experimental_src,_Entity_experimental_src.Entity_label,Entity,_Entity.Sf_framecode
Entity_experimental_src,_Entity_experimental_src.Entity_label,Entity_natural_src,_Entity_natural_src.Entity_label
Entity_experimental_src,_Entity_experimental_src.Entity_label,Natural_source_db,_Natural_source_db.Entity_label
Entity_experimental_src,_Entity_experimental_src.Entity_label,Entity_experimental_src,_Entity_experimental_src.Entity_label
Entity_experimental_src,_Entity_experimental_src.Entity_label,Sample_component,_Sample_component.Entity_label
Entity_experimental_src,_Entity_experimental_src.Entity_label,Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label
Entity_experimental_src,_Entity_experimental_src.Entity_label,Entity_purity,_Entity_purity.Entity_label
Sample,_Sample.Sf_framecode,Sample,_Sample.Sf_framecode
Sample,_Sample.Sf_framecode,Entity_purity,_Entity_purity.Sample_label
Sample,_Sample.Sf_framecode,Chem_shift_experiment,_Chem_shift_experiment.Sample_label
Sample,_Sample.Sf_framecode,Coupling_constant_experiment,_Coupling_constant_experiment.Sample_label
Sample,_Sample.Sf_framecode,Spectral_peak_list,_Spectral_peak_list.Sample_label
Sample,_Sample.Sf_framecode,Isotope_effect_experiment,_Isotope_effect_experiment.Sample_label
Sample,_Sample.Sf_framecode,Mol_interaction_diff_experiment,_Mol_interaction_diff_experiment.Sample_label
Sample,_Sample.Sf_framecode,CS_anisotropy_experiment,_CS_anisotropy_experiment.Sample_label
Sample,_Sample.Sf_framecode,RDC_experiment,_RDC_experiment.Sample_label
Sample,_Sample.Sf_framecode,Spectral_density_experiment,_Spectral_density_experiment.Sample_label
Sample,_Sample.Sf_framecode,New_data_experiment,_New_data_experiment.Sample_label
Sample,_Sample.Sf_framecode,H_exch_rate_experiment,_H_exch_rate_experiment.Sample_label
Sample,_Sample.Sf_framecode,H_exch_protection_fact_experiment,_H_exch_protection_fact_experiment.Sample_label
Sample,_Sample.Sf_framecode,Homonucl_NOE_experiment,_Homonucl_NOE_experiment.Sample_label
Sample,_Sample.Sf_framecode,Heteronucl_NOE_experiment,_Heteronucl_NOE_experiment.Sample_label
Sample,_Sample.Sf_framecode,Heteronucl_T1_experiment,_Heteronucl_T1_experiment.Sample_label
Sample,_Sample.Sf_framecode,Heteronucl_T1rho_experiment,_Heteronucl_T1rho_experiment.Sample_label
Sample,_Sample.Sf_framecode,Heteronucl_T2_experiment,_Heteronucl_T2_experiment.Sample_label
Sample,_Sample.Sf_framecode,Dipole_dipole_relax_experiment,_Dipole_dipole_relax_experiment.Sample_label
Sample,_Sample.Sf_framecode,Cross_correlation_experiment,_Cross_correlation_experiment.Sample_label
Sample,_Sample.Sf_framecode,Order_parameter_experiment,_Order_parameter_experiment.Sample_label
Sample,_Sample.Sf_framecode,PH_titration_experiment,_PH_titration_experiment.Sample_label
Sample,_Sample.Sf_framecode,D_H_fract_factor_experiment,_D_H_fract_factor_experiment.Sample_label
Sample,_Sample.Sf_framecode,Secondary_struct_experiment,_Secondary_struct_experiment.Sample_label
Sample,_Sample.Sf_framecode,Deduced_H_bond_experiment,_Deduced_H_bond_experiment.Sample_label
Sample,_Sample.Sf_framecode,Conformer_family_coord_set_expt,_Conformer_family_coord_set_expt.Sample_label
Sample,_Sample.Sf_framecode,Distance_constraints_expt,_Distance_constraints_expt.Sample_label
Sample,_Sample.Sf_framecode,Torsion_angle_constraints_expt,_Torsion_angle_constraints_expt.Sample_label
Sample,_Sample.Sf_framecode,RDC_constraint_expt,_RDC_constraint_expt.Sample_label
Sample,_Sample.Sf_framecode,J_three_bond_constraint_expt,_J_three_bond_constraint_expt.Sample_label
Sample,_Sample.Sf_framecode,CA_CB_constraint_expt,_CA_CB_constraint_expt.Sample_label
Sample,_Sample.Sf_framecode,H_chem_shift_constraint_expt,_H_chem_shift_constraint_expt.Sample_label
Sample,_Sample.Sf_framecode,NMR_spec_expt,_NMR_spec_expt.Sample_label
Sample_component,_Sample_component.Mol_common_name,Entity,_Entity.Name
Sample_component,_Sample_component.Mol_common_name,Sample_component,_Sample_component.Mol_common_name
Sample_component,_Sample_component.Entity_label,Entity_assembly,_Entity_assembly.Entity_label
Sample_component,_Sample_component.Entity_label,Subsystem_component,_Subsystem_component.Entity_label
Sample_component,_Sample_component.Entity_label,Entity,_Entity.Sf_framecode
Sample_component,_Sample_component.Entity_label,Entity_natural_src,_Entity_natural_src.Entity_label
Sample_component,_Sample_component.Entity_label,Natural_source_db,_Natural_source_db.Entity_label
Sample_component,_Sample_component.Entity_label,Entity_experimental_src,_Entity_experimental_src.Entity_label
Sample_component,_Sample_component.Entity_label,Sample_component,_Sample_component.Entity_label
Sample_component,_Sample_component.Entity_label,Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label
Sample_component,_Sample_component.Entity_label,Entity_purity,_Entity_purity.Entity_label
Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label,Entity_assembly,_Entity_assembly.Entity_label
Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label,Subsystem_component,_Subsystem_component.Entity_label
Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label,Entity,_Entity.Sf_framecode
Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label,Entity_natural_src,_Entity_natural_src.Entity_label
Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label,Natural_source_db,_Natural_source_db.Entity_label
Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label,Entity_experimental_src,_Entity_experimental_src.Entity_label
Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label,Sample_component,_Sample_component.Entity_label
Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label,Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label
Sample_component_atom_isotope,_Sample_component_atom_isotope.Entity_label,Entity_purity,_Entity_purity.Entity_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Sample_condition_list,_Sample_condition_list.Sf_framecode
Sample_condition_list,_Sample_condition_list.Sf_framecode,Assigned_chem_shift_list,_Assigned_chem_shift_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Coupling_constant_list,_Coupling_constant_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Spectral_peak_list,_Spectral_peak_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Chem_shift_isotope_effect_list,_Chem_shift_isotope_effect_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Mol_interaction_chem_shift_diff,_Mol_interaction_chem_shift_diff.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Chem_shift_anisotropy,_Chem_shift_anisotropy.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Chem_shifts_calc_type,_Chem_shifts_calc_type.Modeled_sample_conditions_ID
Sample_condition_list,_Sample_condition_list.Sf_framecode,RDC_list,_RDC_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Spectral_density_list,_Spectral_density_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,New_data_type_list,_New_data_type_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,H_exch_rate_list,_H_exch_rate_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,H_exch_protection_factor_list,_H_exch_protection_factor_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Homonucl_NOE_list,_Homonucl_NOE_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Heteronucl_NOE_list,_Heteronucl_NOE_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Heteronucl_T1_list,_Heteronucl_T1_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Heteronucl_T1rho_list,_Heteronucl_T1rho_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Heteronucl_T2_list,_Heteronucl_T2_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Dipole_dipole_relax_list,_Dipole_dipole_relax_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Cross_correlation_list,_Cross_correlation_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Order_parameter_list,_Order_parameter_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,PH_titration_list,_PH_titration_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,D_H_fractionation_factor_list,_D_H_fractionation_factor_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Secondary_struct_feature_list,_Secondary_struct_feature_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Deduced_H_bond_list,_Deduced_H_bond_list.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,Conformer_family_coord_set,_Conformer_family_coord_set.Sample_condition_list_label
Sample_condition_list,_Sample_condition_list.Sf_framecode,NMR_spec_expt,_NMR_spec_expt.Sample_condition_list_label
Entity_purity,_Entity_purity.Sample_label,Sample,_Sample.Sf_framecode
Entity_purity,_Entity_purity.Sample_label,Entity_purity,_Entity_purity.Sample_label
Entity_purity,_Entity_purity.Sample_label,Chem_shift_experiment,_Chem_shift_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Coupling_constant_experiment,_Coupling_constant_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Spectral_peak_list,_Spectral_peak_list.Sample_label
Entity_purity,_Entity_purity.Sample_label,Isotope_effect_experiment,_Isotope_effect_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Mol_interaction_diff_experiment,_Mol_interaction_diff_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,CS_anisotropy_experiment,_CS_anisotropy_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,RDC_experiment,_RDC_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Spectral_density_experiment,_Spectral_density_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,New_data_experiment,_New_data_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,H_exch_rate_experiment,_H_exch_rate_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,H_exch_protection_fact_experiment,_H_exch_protection_fact_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Homonucl_NOE_experiment,_Homonucl_NOE_experiment.Sample_label
Entity_purity,_Entity_purity.Sample_label,Heteronucl_NOE_experiment,_Heteronucl_NOE_experiment.Sample_label
